timestamp,video_id,confidence,threshold,is_abnormal
2026-02-10T20:11:38.902387,cam1,0.349688,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201134_cam1_0.350.mp4,alert_start
2026-02-10T20:11:44.468385,cam1,0.350033,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201140_cam1_0.350.mp4,alert_start
2026-02-10T20:11:50.207839,cam1,0.352884,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201146_cam1_0.353.mp4,alert_start
2026-02-10T20:11:55.896518,cam1,0.005075,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:12:01.680755,cam1,0.875986,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201157_cam1_0.876.mp4,alert_start
2026-02-10T20:12:07.335572,cam1,0.370715,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201203_cam1_0.371.mp4,alert_start
2026-02-10T20:12:12.892437,cam1,0.370052,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201208_cam1_0.370.mp4,alert_start
2026-02-10T20:12:18.503871,cam1,0.372569,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201214_cam1_0.373.mp4,alert_start
2026-02-10T20:12:24.149127,cam1,0.369848,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201220_cam1_0.370.mp4,alert_start
2026-02-10T20:12:29.836381,cam1,0.372941,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201225_cam1_0.373.mp4,alert_start
